년,월,국적지역,입국자수
2018,10,세르비아몬테네그로,0
2018,11,세르비아몬테네그로,0
2018,12,세르비아몬테네그로,0
2018,1,세이셸,2
2018,2,세이셸,7
2018,3,세이셸,5
2018,4,세이셸,9
2018,5,세이셸,8
2018,6,세이셸,5
2018,7,세이셸,7
2018,8,세이셸,4
2018,9,세이셸,6
2018,10,세이셸,6
2018,11,세이셸,7
2018,12,세이셸,2
2018,1,세인트루시아,2
2018,2,세인트루시아,4
2018,3,세인트루시아,7
2018,4,세인트루시아,11
2018,5,세인트루시아,12
2018,6,세인트루시아,3
2018,7,세인트루시아,2
2018,8,세인트루시아,5
2018,9,세인트루시아,7
2018,10,세인트루시아,8
2018,11,세인트루시아,6
2018,12,세인트루시아,3
2018,1,세인트빈센트그레나딘,2
2018,2,세인트빈센트그레나딘,3
2018,3,세인트빈센트그레나딘,10
2018,4,세인트빈센트그레나딘,10
