년,월,국적지역,입국자수
2019,10,캐나다,20146
2019,11,캐나다,16636
2019,12,캐나다,13961
2023,1,캐나다,11548
2023,2,캐나다,12613
2023,3,캐나다,18729
2023,4,캐나다,21476
2023,5,캐나다,20556
2023,6,캐나다,16389
2023,7,캐나다,17812
2023,8,캐나다,17292
2023,9,캐나다,19195
2023,10,캐나다,23016
2023,11,캐나다,19357
2023,12,캐나다,16531
2024,1,캐나다,13896
2024,2,캐나다,13904
2024,3,캐나다,22425
2024,4,캐나다,23658
2024,5,캐나다,24007
2024,6,캐나다,19887
2024,7,캐나다,23497
2024,8,캐나다,22939
2024,9,캐나다,23202
2024,10,캐나다,29527
2024,11,캐나다,19462
2024,12,캐나다,17233
2025,1,캐나다,16341
2025,2,캐나다,14477
2025,3,캐나다,28732
2025,4,캐나다,34066
2025,5,캐나다,31096
2025,6,캐나다,23950
2025,7,캐나다,24400
2025,8,캐나다,23518
2025,9,캐나다,27684
2025,10,캐나다,31664
2025,11,캐나다,30610
2025,12,캐나다,25215
2026,1,캐나다,18611
2026,2,캐나다,14337
2026,3,캐나다,34042
2026,4,캐나다,40953
2026,5,캐나다,36555
2026,6,캐나다,27702
2026,7,캐나다,27346
2026,8,캐나다,26336
2026,9,캐나다,32000
2026,10,캐나다,35786
2026,11,캐나다,36967
2026,12,캐나다,29900
2018,1,태국,43547
2018,2,태국,43061
2018,3,태국,55993
2018,4,태국,70021
2018,5,태국,51268
2018,6,태국,38939
2018,7,태국,34533
2018,8,태국,30670
2018,9,태국,35604
2018,10,태국,65492
2018,11,태국,49688
2018,12,태국,56247
2019,1,태국,41184
2019,2,태국,39729
2019,3,태국,56261
2019,4,태국,70095
2019,5,태국,50298
2019,6,태국,37569
2019,7,태국,33587
2019,8,태국,29185
2019,9,태국,34874
2019,10,태국,64059
2019,11,태국,49089
2019,12,태국,55686
2023,1,태국,30592
2023,2,태국,29318
2023,3,태국,41268
2023,4,태국,51071
2023,5,태국,36407
2023,6,태국,27007
2023,7,태국,23984
2023,8,태국,20695
2023,9,태국,24555
2023,10,태국,44987
2024,2,태국,24810
2024,3,태국,34443
2024,4,태국,42917
2024,5,태국,32464
2024,6,태국,25298
2024,7,태국,21939
2024,8,태국,20179
2024,9,태국,22008
2024,10,태국,39842
2024,11,태국,29093
2024,12,태국,32096
2025,1,태국,22737
2025,2,태국,20678
2025,3,태국,34792
2025,4,태국,42526
2025,5,태국,29058
2025,6,태국,20805
2025,7,태국,18767
2025,8,태국,15459
2025,9,태국,19458
2025,10,태국,35703
2025,11,태국,27997
2025,12,태국,31890
2026,1,태국,19111
2026,2,태국,16915
2026,3,태국,31263
2026,4,태국,37910
2026,5,태국,25348
2026,6,태국,17823
2026,7,태국,16209
2026,8,태국,13037
2026,9,태국,16919
2026,10,태국,31018
2026,11,태국,24612
2026,12,태국,28064
2018,1,필리핀,25601
2018,2,필리핀,21588
2018,3,필리핀,43208
2018,4,필리핀,53962
2018,5,필리핀,44858
2018,6,필리핀,41129
2018,7,필리핀,32171
2018,8,필리핀,35959
2018,9,필리핀,37131
2018,10,필리핀,55985
2018,11,필리핀,47078
2018,12,필리핀,45617
2019,1,필리핀,28945
2019,2,필리핀,26529
2019,3,필리핀,35294
2019,4,필리핀,54692
2019,5,필리핀,44311
2019,6,필리핀,39588
2019,7,필리핀,32354
2019,8,필리핀,37652
2019,9,필리핀,36429
2019,10,필리핀,54039
2019,11,필리핀,44481
2019,12,필리핀,42611
2023,1,필리핀,27037
2023,2,필리핀,24777
2023,3,필리핀,32962
2023,4,필리핀,51073
2023,5,필리핀,41376
2023,6,필리핀,36963
2023,7,필리핀,30206
2023,8,필리핀,35150
2023,9,필리핀,34006
2023,10,필리핀,50440
2023,11,필리핀,41516
2023,12,필리핀,39768
2024,1,필리핀,30108
2024,2,필리핀,29100
2024,3,필리핀,52104
2024,4,필리핀,45956
2024,5,필리핀,40149
2024,6,필리핀,38769
2024,7,필리핀,27852
2024,8,필리핀,28214
2024,9,필리핀,33506
2024,10,필리핀,52255
2024,11,필리핀,45802
2024,12,필리핀,45554
2025,1,필리핀,33143
2025,2,필리핀,33152
2025,3,필리핀,18712
2025,4,필리핀,52397
2025,5,필리핀,40269
2025,6,필리핀,34169
2025,7,필리핀,30545
2025,8,필리핀,37977
2025,9,필리핀,32487
2025,10,필리핀,46706
2025,11,필리핀,36787
2025,12,필리핀,34594
2026,1,필리핀,36130
2026,2,필리핀,36932
2026,3,필리핀,11903
2026,4,필리핀,53074
2026,5,필리핀,39707
2026,6,필리핀,32845
2026,7,필리핀,30732
2026,8,필리핀,39249
2026,9,필리핀,31656
2026,10,필리핀,44838
2026,11,필리핀,34523
2026,12,필리핀,32252
2018,1,홍콩,33092
2018,2,홍콩,44776
2018,3,홍콩,55268
2018,4,홍콩,65349
2018,5,홍콩,55602
2018,6,홍콩,63101
2018,7,홍콩,62461
2018,8,홍콩,68141
2018,9,홍콩,48025
2018,10,홍콩,64127
2018,11,홍콩,57343
2018,12,홍콩,68094
2019,1,홍콩,34738
2019,2,홍콩,43911
2019,3,홍콩,45945
2019,4,홍콩,67938
2019,5,홍콩,53026
2019,6,홍콩,58804
2019,7,홍콩,58162
2019,8,홍콩,63610
2019,9,홍콩,47184
2019,10,홍콩,61605
2019,11,홍콩,54342
2019,12,홍콩,61750
2023,1,홍콩,27438
2023,2,홍콩,34642
2023,3,홍콩,36207
2023,4,홍콩,53474
2023,5,홍콩,41688
2023,6,홍콩,46174
2023,7,홍콩,45616
2023,8,홍콩,49828
2023,9,홍콩,36915
2023,10,홍콩,48139
2023,11,홍콩,42410
2023,12,홍콩,48132
2024,1,홍콩,28087
2024,2,홍콩,33281
2024,3,홍콩,48371
2024,4,홍콩,37099
2024,5,홍콩,38165
2024,6,홍콩,45313
2024,7,홍콩,44922
2024,8,홍콩,48748
2024,9,홍콩,30873
2024,10,홍콩,42979
2024,11,홍콩,39383
2024,12,홍콩,50860
2025,1,홍콩,28421
2025,2,홍콩,31725
2025,3,홍콩,22599
2025,4,홍콩,54485
2025,5,홍콩,36235
2025,6,홍콩,38351
2025,7,홍콩,37908
2025,8,홍콩,41687
2025,9,홍콩,34104
2025,10,홍콩,42473
2025,11,홍콩,36380
2025,12,홍콩,37708
2026,1,홍콩,28426
2026,2,홍콩,29982
2026,3,홍콩,16893
2026,4,홍콩,54110
2026,5,홍콩,33414
2026,6,홍콩,34586
2026,7,홍콩,34239
2026,8,홍콩,37816
2026,9,홍콩,32457
2026,10,홍콩,39486
2026,11,홍콩,33339
2026,12,홍콩,32979
